Word,Tag

كرة,O

القدم,O

رياضة,O

جماعية,O

،,O

يضم,O

فريق,O

كرة,O

القدم,O

11,O
إبراهيم,B-name
عالمة,I-name

لاعبا,O

بالإضافة,O

إلى,O

خمسة,O

لاعبين,O

للاحتياط,O

.,O

تعتبر,O

إبراهيم,B-name
عالمة,I-name

الرياضة,O

الأكثر,O

شعبية,O

إبراهيم,B-name
عالمة,I-name
حمص,B-reg

في,O

العالم,O

.,O

لا,O
حمص,B-reg

يعرف,O

تاريخ,O

كرة,O

القدم,O
حمص,B-reg

تحديدا,O

،,O

ولا,O

كيف,O

بدأت,O

أو,O

من,O
حمص,B-reg

بدأها,O

",",O

ولكن,O

كانت,O

للصينيين,O

لعبة,O

تسمى,O

كوجو,O

كرة,O

القدم,O

الحديثة,O

تطورت,O

ونشأت,O

في,O

بريطانيا,O

.,O

كانت,O

الرغبة,O

لدى,O

البريطانيين,O

بتغيير,O

رياضة,O

الرجبي,O

العنيفة,O

كرياضة,O

رسمية,O

في,O

المدارس,O

البريطانية,O

إلى,O

رياضة,O

منظمة,O

لا,O

تحوي,O

عنفا,O

كما,O

تحوي,O

الرجبي,O

.,O

بقيت,O

الرياضة,O

المستحدثة,O

تلعب,O

بلا,O

قوانين,O

رسمية,O

حتى,O

كتب,O

بعض,O

المدرسين,O

وأرباب,O

المدارس,O

في,O

القرن,O

التاسع,O

عشر,O

الميلادي,O

قوانين,O

وأحكاما,O

حتى,O

يسمح,O

بلعب,O

كرة,O

القدم,O

بين,O

المدارس,O

المختلفة,O

.,O

قوانين,O

اللعبة,O

الحالية,O

تعتمد,O

اعتمادا,O

مباشرا,O

على,O

جهود,O

بذلت,O

في,O

منتصف,O

القرن,O

التاسع,O

عشر,O

لتوحيد,O

قواعد,O

كرة,O

القدم,O

الكثيرة,O

التي,O

كانت,O

تمارس,O

في,O

مدارس,O

خاصة,O

من,O

إنكلترا,O

ففي,O

عام,O

1848,O

عقد,O

اجتماع,O

في,O

كلية,O

ترينتي,O

في,O

كامبردج,O

،,O

بحضور,O

ممثلين,O

من,O

مدارس,O

إيتون,O

وهاروو,O

ورجبي,O

بالإضافة,O

إلى,O

وينتشستر,O

وشروسباري,O

وتم,O

الاتفاق,O

على,O

ما,O

عرف,O

بإسم,O

قوانين,O

كامبردج,O

لكرة,O

القدم,O

.,O

خلال,O

خمسينيات,O

القرن,O

التاسع,O

عشر,O

الميلادي,O

تشكلت,O

الكثير,O

من,O

الأندية,O

غير,O

المرتبطة,O

بالمدارس,O

في,O

أنحاء,O

العالم,O

المتكلم,O

باللغة,O

الإنكليزية,O

.,O

كل,O

يلعب,O

كرة,O

القدم,O

وفق,O

قوانينه,O

الخاصة,O

،,O

والتي,O

لا,O

تختلف,O

عن,O

بعضها,O

كثيرا,O

.,O

من,O

أبرز,O

هذه,O

القوانين,O

،,O

القوانين,O

التي,O

وضعها,O

نادي,O

شيفيلد,O

لكرة,O

القدم,O

والذي,O

أسسه,O

تلاميذ,O

هاروو,O

السابقون,O

وذلك,O

في,O

عام,O

1857,O

،,O

والتي,O

أدت,O

إلى,O

تشكل,O

اتحاد,O

شيفيلد,O

لكرة,O

القدم,O

(,O

Sheffield,O

FA,O

),O

،,O

في,O

عام,O

1867,O

تشكلت,O

أول,O

جهة,O

حاكمة,O
الوحدة,B-org
السوري,I-org

مختصة,O

في,O

رياضة,O

كرة,O

القدم,O

في,O

إنجلترا,O

",",O

الوحدة,B-org
السوري,I-org
وفي,O

عام,O

1862,O

قام,O

جون,O

تشالرز,O

ثرينج,O

من,O

مدرسة,O

أبينغهام,O

بابتكار,O

مجموعة,O

من,O

قواعد,O

